From,To,Strength,Technique,Description,Collator,Reference
Bed nucleus of the anterior commissure (BAC),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Bed nucleus of the anterior commissure (BAC),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Bed nucleus of the anterior commissure (BAC),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Bed nucleus of the anterior commissure (BAC),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Bed nucleus of the anterior commissure (BAC),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Bed nucleus of the anterior commissure (BAC),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Bed nucleus of the anterior commissure (BAC),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Bed nucleus of the anterior commissure (BAC),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Bed nucleus of the anterior commissure (BAC),Nucleus incertus diffuse part (NId),does not exist,CTB,"Collator note: NId does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Bed nucleus of the anterior commissure (BAC),Posterior nucleus of the amygdala (PA),does not exist,Fluorogold,"Collator note: PA does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Bed nucleus of the anterior commissure (BAC),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Bed nucleus of the anterior commissure (BAC),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Bed nucleus of the anterior commissure (BAC),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Bed nucleus of the anterior commissure (BAC),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Bed nucleus of the anterior commissure (BAC),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Bed nucleus of the anterior commissure (BAC),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Bed nucleus of the anterior commissure (BAC),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Bed nucleus of the anterior commissure (BAC),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Bed nucleus of the anterior commissure (BAC),Nucleus incertus diffuse part (NId),does not exist,CTB,"Collator note: NId does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Bed nucleus of the anterior commissure (BAC),Posterior nucleus of the amygdala (PA),does not exist,Fluorogold,"Collator note: PA does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
